Depth;Magnitude
131.6;6
80;5.8
20;6.2
15;5.8
15;5.8
35;6.7
20;5.9
35;6
95;6
565;5.8
227.9;5.9
20;8.2
55;5.5
482.9;5.6
15;6
10;6.1
30.3;8.7
30;6
25;5.7
25;5.8
25;5.9
20;5.9
10;5.7
24;5.7
31.8;5.7
20;5.6
30;7.3
30;6.5
20;5.6
25;6.4
25;5.8
25;5.8
10;5.8
10;5.7
25;5.7
39.5;6.3
30;5.7
20;6
30.4;5.6
17.8;6.4
27.7;6.2
30.1;5.6
37.4;5.7
17.5;5.7
22.5;6.3
25.2;5.8
17.7;5.7
25;5.7
25;5.8
32.5;5.9
200;5.6
30;6
25;5.8
20;5.8
100;5.9
53.5;5.7
30;5.7
340;5.6
55;5.6
35;5.9
40.4;5.8
35;5.8
35;7
40;6.2
20.3;6.2
160;5.6
10;6
30;5.9
30;5.7
40;5.5
30;5.6
33.6;5.7
105.2;5.6
10;5.8
15;5.6
14.8;6.7
25.7;6.3
200;5.7
30;5.5
35;5.6
560.8;5.8
35;5.6
10;5.6
45;5.8
50;6
15;6.1
20;5.7
207.8;7.4
15;5.8
32.1;6.4
25;6
224.9;6.3
35;5.7
40;6
28.9;6.3
30.5;6.5
48.8;6.2
25;6.2
55;5.7
40;5.8
70;7.4
30;6.4
20;5.9
20;7.6
75;6.8
60;5.9
10;5.8
30.7;5.7
25;5.6
20;6.1
39.2;5.7
50;5.7
25;6.2
25;6.1
20;6
65;6.2
17.5;5.7
543.7;6.5
635;6.3
20;5.9
570;5.7
421.7;5.6
165;5.6
15;6
10;5.9
25;6.1
25;6.1
35;6
70;5.8
30;6
25;5.7
36.8;5.6
37.1;6.1
30;6
60;6.1
15;5.8
64.7;6.7
480;6
15;5.6
22.5;5.8
90;5.8
15;5.9
110;5.7
10;6.2
50;5.7
153.1;6.1
25;5.8
35;5.9
68.4;6.7
35;5.6
35;5.6
50;5.5
120;7.7
35;5.7
553.8;6.1
28.5;6
25;5.9
30.1;5.8
125;6
150;5.9
540;5.7
12.5;5.9
20;5.6
20;5.6
40.7;7
58;7.2
31.6;5.5
35;5.6
32.6;5.7
35;5.6
38;5.7
35;5.7
35;5.5
102.2;5.9
38.1;6.1
25;5.9
10;5.6
95;5.9
25;6.2
10;5.9
45;5.6
10;5.5
25;5.9
40;6.3
20;6.5
30;5.8
10;5.7
15;6.5
40;5.9
25;6
30;5.8
44.6;5.7
10;6.1
45;7.8
35;5.9
35;5.8
20;6.3
45;5.6
490;6.3
35;5.7
112.4;5.7
570;6
25;5.9
24.6;5.7
28.8;5.5
105;5.5
15;5.6
20.1;5.7
140;5.6
21.4;6.8
15;5.7
20;5.6
160;5.6
45;5.9
10;7.3
26.3;5.7
60;6.5
25;7.2
30;5.8
30;6.9
30;6
30;7.6
30;6.9
51;6.8
35;5.9
30;5.8
25;6.1
25;7.4
35;7.2
35;6.2
30;6
20;6
35;5.7
15;6.2
65;6.1
30;5.8
25;6.2
330;6.7
124;6.7
75;6.1
45;5.6
15;6
25;7.4
25;5.8
30;5.7
30;5.8
55;5.7
100;5.8
31;5.5
15;5.9
27.8;7
25;5.7
15;6.2
44.6;6.2
15;6.1
25;6.3
18.9;5.9
15;6.1
35;5.8
160;6
185.9;6.5
35;5.8
35;5.9
35;6.8
25;6
197.6;6.7
35;5.9
55;5.9
35;6.3
45;5.6
27.5;5.7
10;5.8
35;5.6
25;6.5
20;6.1
19.7;6.8
545.5;6.2
10;6
50;5.9
22.2;5.9
20;5.9
20;5.8
25;5.6
192.4;5.7
15;5.7
25;6.3
35;6.1
45;5.6
145.1;5.9
60;5.6
170;6.7
25;5.6
593.8;6.7
15;6.1
15;5.9
15;6.2
20;6.4
35;6.5
45;5.7
40;5.7
10;6.1
110;5.9
10;6
94.7;5.7
160;5.6
430;6.5
45;6
147.9;5.8
133.3;6.5
55;5.7
25;5.9
20;6.2
30;5.6
55;5.8
60;5.6
70;5.8
25;6.2
77.4;5.9
60;5.8
15;5.8
35;5.6
25;6.7
122.5;6.3
175;6
35;6.4
645;6.2
52.8;5.9
29.2;6
23.1;5.6
15;5.8
25;6.3
26.9;5.8
52.4;6.1
20.1;5.6
621.8;6.2
80.1;5.9
45;5.8
35;5.6
100;5.8
25;5.8
35;5.9
15;6
22.5;5.7
22.5;5.8
10;5.8
20;6.2
10;5.8
60;5.6
10;6
115.6;5.6
25;5.7
158.6;5.7
61.1;5.7
25;5.8
180;6.4
10;6.2
10;6.4
119.4;5.9
10;6.5
10;6.5
40;6.3
45;5.8
35;5.8
45.7;6.5
35;6
10;5.9
35;6.6
15;6.6
15;5.7
35;5.9
15;6
120;5.6
35;6.9
20;6
35;5.6
217.6;5.6
45;6
64.7;5.7
45.8;5.8
30;5.9
20;6.7
20;6.3
25;6.5
35;6.2
35;6.2
35;5.6
108.6;5.8
30;7.5
625;6.7
10;5.6
29.3;6.6
25;5.6
20;6.2
20;6.8
49.5;6.2
30;5.9
20;6
20;5.9
25;5.7
80;6
20;6
48.5;5.7
10;5.8
10;6.3
26.2;5.6
49.7;5.7
46.6;6.2
25;5.8
55;5.7
60.5;6.1
30;5.7
35;6.3
45;5.9
15;6.2
25;6
20;6
10;6
